CLAVE1,CLAVE2,LATDEC,LONDEC,ALTURA,NOMBRE,MUNICIPIO,ESTADO,CUENCA
s08002,8002,28.61444444,-106.0116667,1435,Avalos,Chihuahua,Chihuahua,Rio Bravo
s08005,8005,26.95527778,-106.3463889,1567,Balleza,Balleza,Chihuahua,Rio Bravo
s08006,8006,30.99805556,-105.5722222,1060,Banderas,Guadalupe,Chihuahua,Rio Bravo
s08009,8009,28.17027778,-106.5063889,1640,Belisario Dominguez,Doctor Belisario Dominguez,Chihuahua,Rio Bravo
s08011,8011,27.28333333,-105.1666667,1380,Colonia Bufalo (SMN),Allende,Chihuahua,Rio Bravo
s08013,8013,27.66666667,-105.25,1250,Camargo (CFE),Camargo,Chihuahua,Rio Bravo
s08014,8014,28.18333333,-105.4666667,1170,C.A.E. Delicias,Delicias,Chihuahua,Rio Bravo
s08019,8019,28.27166667,-105.4941667,1150,Meoqui (SMN),Meoqui,Chihuahua,Rio Bravo
s08021,8021,27.91694444,-107.0569444,2080,Carichi,Carichi,Chihuahua,Rio Bravo
s08025,8025,27.68555556,-105.1713889,1223,Camargo (SMN),Camargo,Chihuahua,Rio Bravo
s08027,8027,28.2,-105.4666667,1170,Delicias (SMN),Delicias,Chihuahua,Rio Bravo
s08029,8029,27.14055556,-104.9136111,1380,Jimenez (SMN),Jimenez,Chihuahua,Cuencas Centrales Del Norte
s08030,8030,31.73944444,-106.4869444,1120,Juarez (SMN),Juarez,Chihuahua,Rio Bravo
s08033,8033,27.29944444,-105.1736111,1380,Colonia Bufalo (DGE),Allende,Chihuahua,Rio Bravo
s08039,8039,29.43333333,-104.9,909,Cuchillo Parado,Coyame Del Sotol,Chihuahua,Rio Bravo
s08040,8040,28.67055556,-106.1302778,1509,Chihuahua (Obs),Chihuahua,Chihuahua,Rio Bravo
s08044,8044,28.19416667,-105.4636111,1173,Delicias (DGE),Delicias,Chihuahua,Rio Bravo
s08049,8049,28.97861111,-105.3116667,1080,Luis L. Leon,Aldama,Chihuahua,Rio Bravo
s08051,8051,29.52777778,-104.6747222,820,El Mezquite,Ojinaga,Chihuahua,Rio Bravo
s08054,8054,26.85916667,-105.8475,2027,El Oro,San Francisco Del Oro,Chihuahua,Rio Bravo
s08056,8056,28.61416667,-106.1191667,1464,Presa El Rejon (SMN),Chihuahua,Chihuahua,Rio Bravo
s08057,8057,27.57055556,-106.2877778,1600,El Sitio,Satevo,Chihuahua,Rio Bravo
s08060,8060,27.05,-106.25,1580,El Tule (SMN),El Tule,Chihuahua,Rio Bravo
s08061,8061,26.47416667,-106.3883333,2740,El Vergel (SMN),Balleza,Chihuahua,Rio Bravo
s08072,8072,29.16222222,-105.3802778,1420,Guadalupe,Aldama,Chihuahua,Rio Bravo
s08078,8078,26.90555556,-105.7291667,1770,Presa Parral,Hidalgo Del Parral,Chihuahua,Rio Bravo
s08081,8081,27.13333333,-104.9166667,1370,Jimenez (DGE),Jimenez,Chihuahua,Cuencas Centrales Del Norte
